lane min sec num
1 0 10 5
2 0 10 8
3 0 10 14
1 0 20 5
2 0 20 11
3 0 20 14
1 0 30 5
2 0 30 8
3 0 30 11
1 0 40 3
2 0 40 14
3 0 40 11
1 0 50 3
2 0 50 17
3 0 50 8
1 1 0 2
2 1 0 10
3 1 0 8
1 1 10 3
2 1 10 10
3 1 10 6
1 1 20 3
2 1 20 11
3 1 20 2
1 1 30 3
2 1 30 10
3 1 30 8
1 1 40 5
2 1 40 10
3 1 40 10
1 1 50 4
2 1 50 10
3 1 50 10
1 2 0 4
2 2 0 15
3 2 0 11
1 2 10 3
2 2 10 12
3 2 10 9
1 2 20 7
2 2 20 10
3 2 20 12
1 2 30 2
2 2 30 7
3 2 30 4
1 2 40 0
2 2 40 6
3 2 40 5
1 2 50 0
2 2 50 7
3 2 50 6
1 3 0 0
2 3 0 7
3 3 0 6
1 3 10 1
2 3 10 9
3 3 10 6
1 3 20 5
2 3 20 13
3 3 20 19
1 3 30 1
2 3 30 11
3 3 30 8
1 3 40 2
2 3 40 12
3 3 40 6
1 3 50 4
2 3 50 12
3 3 50 15
1 4 0 4
2 4 0 9
3 4 0 18
1 4 10 2
2 4 10 12
3 4 10 20
1 4 20 2
2 4 20 16
3 4 20 19
1 4 30 2
2 4 30 8
3 4 30 17
1 4 40 2
2 4 40 7
3 4 40 18
1 4 50 5
2 4 50 15
3 4 50 18
1 5 0 4
2 5 0 10
3 5 0 16
1 5 10 3
2 5 10 10
3 5 10 16
1 5 20 3
2 5 20 13
3 5 20 18
1 5 30 3
2 5 30 10
3 5 30 12
1 5 40 3
2 5 40 15
3 5 40 11
1 5 50 4
2 5 50 10
3 5 50 3
1 6 0 0
2 6 0 9
3 6 0 5
1 6 10 0
2 6 10 9
3 6 10 14
1 6 20 0
2 6 20 12
3 6 20 10
1 6 30 0
2 6 30 10
3 6 30 5
1 6 40 0
2 6 40 13
3 6 40 21
1 6 50 1
2 6 50 15
3 6 50 11
1 7 0 3
2 7 0 15
3 7 0 14
1 7 10 2
2 7 10 15
3 7 10 16
1 7 20 2
2 7 20 16
3 7 20 16
1 7 30 4
2 7 30 12
3 7 30 10
1 7 40 9
2 7 40 10
3 7 40 13
1 7 50 2
2 7 50 7
3 7 50 10
1 8 0 4
2 8 0 15
3 8 0 13
1 8 10 2
2 8 10 11
3 8 10 7
1 8 20 2
2 8 20 8
3 8 20 5
1 8 30 2
2 8 30 12
3 8 30 6
1 8 40 2
2 8 40 12
3 8 40 8
1 8 50 3
2 8 50 7
3 8 50 13
1 9 0 4
2 9 0 5
3 9 0 12
1 9 10 0
2 9 10 5
3 9 10 5
1 9 20 0
2 9 20 4
3 9 20 4
1 9 30 0
2 9 30 4
3 9 30 5
1 9 40 1
2 9 40 6
3 9 40 3
1 9 50 1
2 9 50 4
3 9 50 12
1 10 0 4
2 10 0 13
3 10 0 12
1 10 10 3
2 10 10 10
3 10 10 16
1 10 20 1
2 10 20 12
3 10 20 14
1 10 30 6
2 10 30 12
3 10 30 14
1 10 40 4
2 10 40 11
3 10 40 13
1 10 50 3
2 10 50 8
3 10 50 17
1 11 0 4
2 11 0 9
3 11 0 13
1 11 10 5
2 11 10 9
3 11 10 9
1 11 20 6
2 11 20 9
3 11 20 6
1 11 30 5
2 11 30 12
3 11 30 12
1 11 40 4
2 11 40 12
3 11 40 11
1 11 50 5
2 11 50 14
3 11 50 11
1 12 0 4
2 12 0 12
3 12 0 5
1 12 10 8
2 12 10 13
3 12 10 6
1 12 20 1
2 12 20 11
3 12 20 5
1 12 30 0
2 12 30 8
3 12 30 2
1 12 40 0
2 12 40 9
3 12 40 11
1 12 50 1
2 12 50 10
3 12 50 4
1 13 0 0
2 13 0 9
3 13 0 6
1 13 10 6
2 13 10 18
3 13 10 17
1 13 20 2
2 13 20 9
3 13 20 12
1 13 30 1
2 13 30 15
3 13 30 16
1 13 40 4
2 13 40 17
3 13 40 15
1 13 50 2
2 13 50 12
3 13 50 15
1 14 0 4
2 14 0 14
3 14 0 8
1 14 10 4
2 14 10 17
3 14 10 7
1 14 20 5
2 14 20 17
3 14 20 13
1 14 30 3
2 14 30 11
3 14 30 11
1 14 40 4
2 14 40 12
3 14 40 10
1 14 50 7
2 14 50 15
3 14 50 9
1 15 0 3
2 15 0 14
3 15 0 11
1 15 10 4
