lane min sec num
1 0 10 3
2 0 10 11
3 0 10 15
1 0 20 3
2 0 20 15
3 0 20 12
1 0 30 5
2 0 30 12
3 0 30 16
1 0 40 7
2 0 40 12
3 0 40 13
1 0 50 3
2 0 50 13
3 0 50 2
1 1 0 3
2 1 0 10
3 1 0 5
1 1 10 3
2 1 10 12
3 1 10 6
1 1 20 2
2 1 20 9
3 1 20 3
1 1 30 2
2 1 30 11
3 1 30 12
1 1 40 3
2 1 40 11
3 1 40 13
1 1 50 4
2 1 50 9
3 1 50 7
1 2 0 3
2 2 0 13
3 2 0 13
1 2 10 7
2 2 10 12
3 2 10 7
1 2 20 3
2 2 20 16
3 2 20 14
1 2 30 6
2 2 30 9
3 2 30 6
1 2 40 3
2 2 40 9
3 2 40 8
1 2 50 0
2 2 50 9
3 2 50 7
1 3 0 0
2 3 0 7
3 3 0 5
1 3 10 0
2 3 10 8
3 3 10 5
1 3 20 0
2 3 20 10
3 3 20 25
1 3 30 6
2 3 30 11
3 3 30 7
1 3 40 2
2 3 40 7
3 3 40 8
1 3 50 1
2 3 50 12
3 3 50 14
1 4 0 4
2 4 0 14
3 4 0 13
1 4 10 5
2 4 10 10
3 4 10 15
1 4 20 2
2 4 20 14
3 4 20 19
1 4 30 2
2 4 30 11
3 4 30 24
1 4 40 2
2 4 40 7
3 4 40 23
1 4 50 6
2 4 50 9
3 4 50 10
1 5 0 4
2 5 0 11
3 5 0 14
1 5 10 6
2 5 10 13
3 5 10 14
1 5 20 2
2 5 20 11
3 5 20 16
1 5 30 5
2 5 30 16
3 5 30 15
1 5 40 7
2 5 40 11
3 5 40 13
1 5 50 3
2 5 50 17
3 5 50 7
1 6 0 1
2 6 0 10
3 6 0 7
1 6 10 0
2 6 10 9
3 6 10 9
1 6 20 0
2 6 20 10
3 6 20 11
1 6 30 2
2 6 30 9
3 6 30 10
1 6 40 2
2 6 40 8
3 6 40 5
1 6 50 1
2 6 50 11
3 6 50 20
1 7 0 6
2 7 0 15
3 7 0 10
1 7 10 8
2 7 10 13
3 7 10 11
1 7 20 4
2 7 20 14
3 7 20 15
1 7 30 6
2 7 30 11
3 7 30 11
1 7 40 4
2 7 40 14
3 7 40 11
1 7 50 6
2 7 50 10
3 7 50 8
1 8 0 3
2 8 0 12
3 8 0 14
1 8 10 3
2 8 10 12
